FID IID C1 C2 C3 C4 C5 C6 C7 C8 C9 C10
1328 NA06989 0.0160249 -0.0527081 0.0532834 -0.00151572 0.00862577 -0.00979541 0.019497 -0.0257653 0.00946611 -0.0147235
1377 NA11891 0.00880326 -0.0302948 -0.0051995 0.0268125 -0.0139691 -0.0156051 -0.000492102 0.00316405 0.0260371 0.0140428
1349 NA11843 -0.000948607 0.0140868 -0.00435938 -0.0145398 -0.0156304 0.0211412 -0.00908916 0.0145217 -0.00769973 0.0126226
1330 NA12341 -0.0133513 -0.0112818 0.00311679 0.00684165 0.0266296 0.0144824 -0.0295584 -0.00327526 -0.00396523 0.0245783
1328 NA06984 0.00775499 0.0128441 0.0194965 -0.0222438 -0.00632951 0.0078447 -0.0126287 -0.0215736 -0.0107028 -0.0108974
1418 NA12275 -0.0119731 -0.0060443 -0.00943407 0.0183443 0.0175645 -0.00710369 0.0304177 0.0122958 0.00373382 -0.00866233
13291 NA06986 -0.000383232 0.0113762 0.0048583 -0.0238018 -0.0187862 -0.00653914 -0.00481855 0.00588172 -0.00600087 0.0315386
1418 NA12272 -0.0103709 -0.00907079 -0.010815 -0.0168651 0.00555961 0.011779 -0.0181808 0.00554982 0.00142064 0.0332946
13292 NA07051 -0.00338742 -0.00631925 -0.00832884 0.0436293 -0.00987599 -0.0216238 -0.0209961 -0.00706021 -0.0133777 0.0273961
1354 NA12400 -0.0149125 0.00487679 -0.00475708 0.00532098 0.0341216 -0.0193598 -0.0215008 -0.0172082 -0.0111391 0.0257765
1451 NA12777 -0.000605944 -0.00727748 -0.00222652 0.00423491 0.00666008 -0.00252366 -0.00425178 -0.023192 0.0111206 -0.0150057
1421 NA12287 -0.00407442 0.00407811 -0.00923098 -0.0163569 0.014955 -0.0045985 0.00435166 -0.00281774 0.0022704 0.00414217
1353 NA12383 0.00291265 -0.00341956 0.0111511 0.00278102 -0.0475987 -0.0128925 0.00888249 -0.00404833 0.039674 0.000461356
1330 NA12340 -0.00824738 -0.00328613 -0.0102913 -0.0293492 0.00529538 0.0229494 0.0118464 0.0123231 0.0197469 -0.018024
1418 NA12273 0.00195166 -0.00821131 0.0102752 -0.0132053 -0.0339379 -0.0091108 0.0169441 -0.0205565 0.00945035 0.0352014
1377 NA11892 -0.00169957 -0.00796091 0.013741 0.00356371 -0.0349351 0.012043 8.89634e-05 0.0336775 0.00446891 -0.0265082
1353 NA12546 0.0161489 0.000638471 -0.00554867 -0.00373333 -0.01348 0.00737495 -0.0177409 -0.0372998 0.00541675 -0.00296036
1458 NA12843 -0.0126038 -0.0263646 0.00428927 -0.00759599 -0.0169523 -0.0241521 -0.0237108 0.0308019 -0.0371998 0.0131974
13281 NA12348 -0.00535146 -0.00452797 -0.0158366 -0.00688209 0.0177581 0.0179867 0.0043464 -0.0139555 0.00542292 0.0115751
1423 NA11917 0.0181086 -0.0078634 -0.0159808 0.00672119 0.0186715 -0.0232452 -0.0139614 -0.0062401 -0.0218422 -0.0142228
1358 NA12718 0.0106324 0.00703855 0.00322986 -0.0131822 0.0302726 -0.000539426 0.0246019 0.0126217 -0.0283458 -0.0086028
1421 NA12282 0.00465515 0.0161276 -0.0222411 -0.0138413 -0.00843759 -0.00847755 -0.00762754 -0.0333982 0.036052 -0.00744025
1423 NA11920 0.00945884 0.00376701 -0.0177746 6.11431e-05 0.024067 0.00687753 -0.0280156 -0.00874887 0.00680743 0.0342317
1451 NA12776 -0.00105493 -0.0130392 0.0152121 -0.00376772 -0.02189 0.0288277 0.00103839 -0.0177424 -0.00404826 0.00839245
1421 NA12283 -0.0115413 -0.0141539 -0.0055898 0.000381639 0.0262301 0.0116803 -0.00237403 0.00799111 -0.0171404 0.00399953
13291 NA07435 -0.010448 -0.00957212 -0.0121992 0.0309068 0.036586 0.0047345 -0.0133929 0.00600517 0.0129022 -0.0146905
1456 NA12828 -0.0145402 -0.00667216 0.0156607 -0.000948449 -0.011181 0.00189385 0.0114955 0.0190779 0.0223103 0.00531483
13292 NA07031 -0.0580169 0.0684529 0.0505093 0.0628359 -0.00313845 0.0154355 0.0225971 -0.0289088 0.0186463 0.00374972
1456 NA12827 -0.0141971 0.0125367 -0.0040619 0.00202594 0.0374542 0.0179271 -0.016068 -0.0042562 0.0205886 0.00620101
1330 NA12343 0.00415902 -0.00190363 0.0180297 -0.0106678 -0.00569265 0.00502025 0.00175289 -0.00321908 -0.00860486 0.00969064
1451 NA12778 -0.0127485 0.00660082 -0.00656254 0.00731775 0.0255791 0.000208084 0.0350657 0.0192221 -0.00138966 0.0103166
1424 NA11930 -0.00765658 0.00310757 0.0113505 -0.0254108 0.00495471 0.00468161 -0.00577899 0.0197474 -0.00856321 -0.00488058
1463 NA12890 0.0111869 -0.0076495 0.0212897 -0.00735117 0.00875575 -0.000171223 0.0226916 0.0328138 0.0391935 0.00792168
13291 NA07037 -0.0156574 0.00971968 -0.0135526 0.000634806 0.0120721 0.0442864 0.0143121 -0.00602301 -0.00742514 0.0100218
1345 NA07347 -0.00394516 -0.00554106 -0.00800334 -0.00114213 -0.00644224 -0.00297347 0.0334219 -0.00415019 0.000333298 0.0179286
1456 NA12829 -0.0105879 -0.0016034 0.019304 0.00535954 -0.0336822 -0.0010727 0.000504859 0.0253479 0.0140909 -0.01256
1444 NA12749 -0.0106418 0.00294854 -0.00840069 0.00525258 -0.0104794 -0.0163498 0.0185886 -0.0129058 -0.0178491 0.0401431
1377 NA11894 -0.00827783 0.0135976 -0.011401 -0.0281995 -0.0220515 -0.00760079 -0.0275198 -0.015616 0.00696436 -0.0176241
1421 NA12286 -0.0172577 0.0136545 0.00103903 0.00910306 -0.00358748 0.0167188 -0.0606407 -0.0199761 -0.015553 -0.0314753
1423 NA11918 0.00810197 -0.00359538 0.0129059 0.0133073 0.00216177 0.00432358 -0.00385699 0.00933058 -0.0588156 0.0142675
1456 NA12830 -0.0280661 -0.0300857 -0.0728106 0.0631871 -0.0339738 0.0220806 0.0278973 0.00172148 -0.000524966 -0.00279163
1377 NA11893 -0.010667 -0.01746 0.0257292 -0.0140292 0.00873749 -0.011873 -0.00739211 0.00447529 -0.00333513 -0.0111207
1423 NA11919 -0.00649772 -0.0216614 -0.00518389 0.0198671 0.0123171 -0.0266443 0.01967 0.0225809 -0.0145954 -0.0224361
1353 NA12489 -0.000675321 -0.00219724 -0.00133835 -0.0310399 -0.00359837 0.0140935 -0.00582696 0.00870345 -0.000795185 0.0504864
1354 NA12399 0.00158613 -0.0108283 -0.000736419 0.00234102 -0.00561487 -0.0206585 0.00308313 0.0194308 -0.0230364 0.00161072
1355 NA12413 0.000716233 -0.0136625 -0.0175769 0.0053576 -0.00208782 -0.00108114 -0.0199209 -0.0299231 -0.030473 -0.0154503
1458 NA12842 -0.00997812 -0.00301995 0.0148232 0.000221713 -0.0105273 0.0181393 0.00390646 -0.00305178 -0.0306434 -0.0391299
13281 NA12347 -0.00221312 0.0153785 0.019531 -0.0237457 -0.00391082 0.019608 -0.0199302 -0.00353118 -0.00128802 -0.0396543
1345 NA07346 -0.0123722 -0.00417195 0.00350337 0.0109694 -0.0146867 -0.00798253 -0.0282565 -0.0158032 -0.013566 -0.0258707
1451 NA12775 -0.00386316 0.000967097 -0.0162431 -0.0129531 0.0294582 0.0066363 0.00701227 -0.00438001 -0.0260715 0.0147379
1463 NA12889 0.00770449 0.000650574 -0.00302214 -0.00878241 -0.0170579 0.0131439 0.021477 -0.0197343 -0.00221134 0.00141986
1444 NA12748 -0.00531693 0.0131361 0.00311814 -0.03229 0.000478274 0.0377224 0.0135911 0.0619701 -0.0300316 -0.0129428
1424 NA11931 0.000197945 0.00894603 -0.0034291 -0.0337604 -0.013217 0.0101617 0.0274798 0.0447409 -0.0171269 -0.0143957
1346 NA12045 -0.00732629 0.0218539 -0.014859 0.00251645 0.00392696 0.0146234 -0.00809774 0.0123203 0.00946092 -0.0216295
1444 NA12750 -0.000464455 0.0188208 -0.0166545 -0.00314831 0.019073 -0.000772901 -0.000192429 0.0381791 0.0302108 -0.00376646
1350 NA11831 0.00209173 0.00827185 0.0125001 -0.0158117 -0.0146166 -0.00598432 -0.0314651 0.0266583 0.0131745 0.00980233
1334 NA12146 -0.00848301 -0.00731061 0.0156529 0.028261 0.0156237 -0.00324609 -0.00679473 0.00408693 -0.0194788 0.00312667
1347 NA11882 0.0220073 -0.00283716 -0.0262112 -0.0264013 0.013641 0.0262987 -0.017644 -0.011177 0.0409864 0.0532695
1340 NA07056 0.0864315 0.0440971 0.0197785 0.038551 0.00582543 0.0287538 -0.00232542 0.00623488 0.00124688 0.0103976
1408 NA12154 0.0145176 -0.00767503 0.0136145 0.00812591 0.00671196 -0.0159559 -0.000113403 0.00615528 0.00100387 -0.0131337
1349 NA11839 0.00250677 -0.0125235 0.0145613 -0.00380136 -0.0356716 0.00333376 -0.0387524 -0.00884019 0.00738995 -0.0288765
1459 NA12875 0.0022766 0.020893 -0.0110899 -0.00756383 -0.0104659 -0.00306889 -0.016599 -0.0215159 0.00466189 -0.020458
1408 NA12156 -0.01233 0.00869218 0.000187001 -0.0203092 -0.000752894 -0.000649465 -0.0220227 0.00894018 -0.0125925 0.0168509
1346 NA12044 -0.000618215 -0.00791129 -0.0142626 -0.00356283 -0.0136559 -0.0182486 -0.00277993 -0.028078 -0.00200235 -0.0163216
1362 NA11992 0.00733244 0.00219396 0.00348268 -0.00388613 -0.0227759 -0.000784896 0.0276476 0.0140203 0.0263277 0.030473
1350 NA11829 -0.00284868 0.00662012 0.00293267 -0.00541897 -0.00155355 -0.0203528 -0.000705857 0.0118048 -0.0202278 0.0184835
